episode_number,host,bright_spot
734,Jordan,The possibility of cloning Shohei Otani to create an unbeatable baseball team.
735,Dan,Watching Survivor
735,Dan,Receiving a Kevin from Up enamel pin
735,Jordan,New albums from Freddie Gibbs and Yeah Yeah Yeahs
737,Dan,Remembering to do an intro for the podcast episode
737,Jordan,"Getting a rare, free parking spot"
738,Dan,The end of 'sneak weekend' and positive reception from listeners.
738,Dan,"Excitement about upcoming, unannounced projects."
738,Dan,Enjoying animal memes.
738,Jordan,"A feeling of accomplishment and achievement, particularly regarding a blocked project."
739,Dan,New shoes that are slightly too big; Wife's love and beauty; The inspiration to not screw up the good shoes.
739,Jordan,Being on Marty and Sarah Love Wrestling podcast; Discussing feelings about Bray Wyatt
740,Dan,Threatening cat with knife (playfully)
740,Jordan,Playing Cyberpunk 2077
741,Dan,"Acquisition of a dustpan on a stick, inspired by seeing one used at a haircut appointment, for easier floor cleaning at home."
741,Jordan,A British game show called 'Only Connect' that challenges contestants to find connections between seemingly disparate clues.
742,Dan,"Smelling weed while doing laundry, reminiscing about apartment days"
742,Jordan,"Watching the Phillies play in the World Series, especially Kyle Schwarber"
743,Dan,"A successful lecture at the University of Kansas, despite some initial nervousness."
743,Dan,Meeting Black Dragon Queen Christy.
743,Dan,Spending time with parents.
743,Jordan,"A fantastic World Series, especially the dramatic ups and downs and a combined no-hitter."
744,Dan,Persona 5 Royal Blue
744,Jordan,The Al Yankovic Story
745,Dan,Not having to watch Alex's live stream
745,Dan,Eating Jurassic Park themed Tricks cereal
745,Jordan,Hanging out with friend Lieberman
745,Jordan,Finding out Lieberman was on Kelly Clarkson's show
745,Jordan,Leno is 8000 years old now
746,Dan,Starting a new collection of anti-communist literature and Alex Jones-adjacent materials.
746,Dan,"Receiving first items for the new library, copies of the American Opinion Birch Society magazines from the 1960s."
746,Jordan,"Hayao Miyazaki is working on a new film, potentially related to Star Wars."
746,Jordan,The excitement and anticipation for the new Studio Ghibli film.
747,Dan,Thanking everyone who responded to the call for submissions for the anticommunism library.
747,Dan,Buttons are still coming out.
747,Jordan,"The new show *The Pastimes* hosted by Dave Anthony and Gareth Reynolds, featuring historical newspaper readings."
748,Dan,Shaving back (new experience).
748,Jordan,Jordan's wife getting her COVID booster and flu shot.
749,Dan,Receiving a package of British sweets and hobnobs from Lee in the UK
749,Jordan,"Being a guest on the God Pod and talking to Psyche, Satan, and the Christian devil"
750,Dan,"Gratitude for the audience, Jordan, and family"
750,Jordan,The World Cup
751,Dan,No bright spots noted in this conversation.
751,Jordan,Found out Jordan Peele made a show called Quiet part loud.
752,Dan,Finding and eating two slices of pie: chocolate cream and whipped cheesecake.
752,Jordan,Being a guest on the god pod and receiving positive feedback.
753,Dan,Listened to Dilated Peoples albums (The Platform and Expansion Team).
753,Dan,Discovered a lyrical gem in a Dilated Peoples song featuring The Alkaholiks: 'Batman character walk through my hood. There's no love Dashiell jakim for his cape and sport that shit to the close.'
753,Jordan,Enjoys watching The Amazing Race with his wife.
753,Jordan,Rooting for the long lost twins team and their genuine connection.
754,Dan,"His computer relaunching Spotify and being reminded of the Doughboys' new live show, inspiring thoughts about collaborating with them."
754,Jordan,New socks with his dogs' faces on them
754,Jordan,"A new hoodie, a gift from his amazing wife"
755,Dan,Transforming his plant-based Instagram account into a library-themed account. Acquiring a first edition copy of the John Franklin letter and appreciating the connection to history and the physical book itself.
755,Jordan,"Watching a 22-hour Final Fantasy IX ""Garnet Only"" speedrun by Matakohe, a Northern Irish streamer. Enjoys the chaos and the streamer's accent."
756,Dan,Getting artificially hyped about the upcoming Fire Emblem Engage game.
756,Jordan,"Seeing Guillermo del Toro's Pinocchio and admiring the incredible stop-motion animation, especially the scene with the floating balloon."
758,Dan,Mail carrier's positivity brightened his spirits.
758,Jordan,The World Cup final was amazing to watch.
760,Dan,Getting a PS5 and playing Arkham Knights
760,Jordan,Doing the podcast together after Dan's illness.
761,Dan,Finishing Better Call Saul and enjoying Lavelle Crawford's performance
761,Jordan,Manakohe doing a Final Fantasy 1-15 marathon and losing his mind
762,Dan,Subscribing to CBB World.
762,Dan,"Enjoying Tim Baltz's 'Hey, Randy' show."
762,Jordan,Reading the 'Grace of Kings' quadrilogy.
762,Jordan,Discovering a modern author who understands Dr. Fung Yu-lan's history of Chinese philosophy.
763,Dan,Compiling the works of Revilo P. Oliver for his library
763,Jordan,Listening to the new Big Thief album
765,Dan,Discovered a good ice cream flavor.
765,Dan,Better sleep schedule over the past week.
765,Jordan,"Awesome Games Done Quick marathon has started, raising money for good causes."
765,Jordan,"Founder leaving after this year, having grown it from his mom's basement to $40 million+ in donations."
766,Dan,Having a disastrous but delicious Wendy's Garlic Not Been Yes Fried Chicken sandwich with mozzarella stick patty.
766,Jordan,Going to be doing a live performance this show in Milwaukee at the X-ray arcade
767,Dan,Sloppy Joes from White Castle
767,Dan,Sloppy Joes were good
767,Jordan,The sold-out live show
767,Jordan,Adding a second live show
768,Dan,"Reciting Will Smith's ""Welcome to Miami"" and freaking Jordan out."
768,Jordan,"The Australian Open, particularly old man Andy Murray's win against young Matteo Berrettini."
769,Dan,The potential of a new Red Bull flavor
769,Jordan,Fire Emblem Engage coming out soon
770,Dan,"Exercising and rediscovering his unique taste in music, which he describes as the kind that goes with sliding sideways into a room wearing a cape."
770,Jordan,Playing Fire Emblem Engage and enjoying the streamlined conversations
771,Dan,Playing Fire Emblem Engage
771,Dan,Watching the Royal Rumble
771,Jordan,Watching documentary on the Pez Outlaw
772,Dan,Vindication regarding Uncle Howdy storyline in wrestling.
772,Jordan,New warm gloves that make opening dog bags easier.
773,Dan,"Learning new things (e.g., the true nature of cat staring)"
773,Dan,New major report of the SPLC
773,Jordan,Watching the show 'conch on Earth'
774,Dan,"Chaos; specifically, the chaotic experience of buying stamps at the post office, including the frustrating stamp machine and the unexpected encounter with Nancy Reagan stamps."
774,Jordan,"Playing Fire Emblem Engage and streaming it, despite the game's flaws; enjoying the communal experience with the audience during the streams."
775,Dan,Watching the new season of Australian Survivor
775,Jordan,Successfully performing a pixel-perfect skip in a Final Fantasy VII speedrun
776,Dan,Playing the Miles Morales Spider-Man game
776,Jordan,Giving his wife a bouquet of wildflowers for Valentine's Day
777,Dan,Sour Patch Strawberry candy
777,Jordan,Lil Yachty's prog rock album
778,Dan,Closing the fundraiser for the Transgender Law Center at the end of the week.
778,Dan,"A second person, Kristen, got a Wonka button."
778,Jordan,New season of Taskmaster Australia is out and pretty great.
779,Dan,Thanking those who contributed to the GoFundMe fundraiser.
779,Dan,"Adding a note to the campaign, despite the temporary pause it caused."
779,Jordan,Wife roasting for subpar yoga ability and the borderline elderly teacher's favoritism.
779,Jordan,Finding the situation absolutely hilarious.
780,Dan,The chaos and excitement surrounding preparations for the upcoming live show in Milwaukee.
780,Jordan,Revisiting the Daft Punk album *Random Access Memories* and rediscovering its brilliance.
781,Dan,Rekindled love for Sonic (the restaurant) and their chili dogs.
781,Jordan,Defeating a difficult boss in a speedrun of Final Fantasy VII.
782,Dan,Recording an episode for Thursday release because of live shows in Milwaukee.
782,Jordan,The Mandalorian returns from The Book of Boba Fett.
783,Dan,Going to Target with Jordan
783,Dan,Getting swim trunks
783,Dan,Getting into a hot tub
783,Dan,Finding another globalist
783,Jordan,The enthusiastic audience
783,Jordan,The X-Ray arcade
784,Dan,Trying a bizarre chocolate lemonade beverage.
784,Jordan,His wife was able to make it to the live show.
785,Dan,"Playing Far Cry 5 and 6, discovering enjoyment in first-person shooters despite initial reservations, particularly appreciating the story and animal companions."
785,Jordan,"Baseball's return, especially the World Baseball Classic, with its mix of high stakes and underdog potential."
786,Dan,Reflecting on the successful live shows in Milwaukee and expressing gratitude to the attendees for their kindness and thoughtful gifts.
786,Jordan,"World Baseball Classic - specifically, Puerto Rico's upset victory over the Dominican Republic. The excitement of the upcoming games, especially the potential match-up between Japan and the United States."
787,Dan,Discovering the show 'Secrets of Skinwalker Ranch' and the role of 'Dragon' in the investigations.
787,Jordan,The new M83 album – reliably delivers a surprise saxophone solo.
787,Jordan,Listening to older Bosstones albums.
788,Dan,"Information not provided, as he is not present in the conversation."
788,Jordan,The World Baseball Classic
789,Dan,Speaking engagement at Florida Southern College
789,Dan,Nice weather in Lakeland
789,Dan,Students who asked engaging questions
789,Jordan,Celebrating first wedding anniversary
789,Jordan,Dinner at the Girl and the Goat
790,Dan,"Excitement for the chaos of the world, exemplified by Trump's indictment."
790,Dan,Kevin Owens and Sami Zayn teaming up again against the Usos for the tag team titles.
790,Jordan,Cubs win on opening day due to great pitching performance from Marcus Stroman.
791,Dan,WrestleMania: Hoping for a good time and specifically rooting for Sami Zayn and Kevin Owens to win the tag championships.
791,Jordan,Spring break trip to Toronto with his wife.
792,Dan,Not mentioned
792,Jordan,Feeling that it's possible to hold someone in power accountable. A feeling of possibility.
793,Dan,Living in the joy of Wrestlemania anticipation
793,Jordan,Carlos Alcatraz's exciting tennis skills
794,Dan,"Thanking Jordan for the Jeff Charlotte interview, appreciating the ability to showcase Jordan's knowledge."
794,Dan,"GoFundMe for the button time hitting its goal, raising over $35,000 for reproductive health care access and the Transgender Law Center."
794,Dan,The discovery of the third Wonka button in Scotland.
794,Jordan,"Enjoying time with his wife in Toronto, including visiting a cool cocktail bar and medieval times."
794,Jordan,Witnessing amazing horse dressage and bird flying.
795,Dan,"Gardening, applesauce, and cottage cheese consumption."
795,Jordan,The return of regular ass Taskmaster in the UK version featuring Greg Davies and Alex Horne.
796,Dan,"None, just shots fired at Dr. Pepper strawberry and cream and Coca Cola move."
796,Jordan,Brandy Younger's new jazz hip hop fusion album featuring a lot of harp
797,Dan,Novelty candies: Froot Loops gummies and Starburst cotton candy
797,Jordan,"Playing tennis on a warm, sunny day"
798,Dan,Hanging out with friends Marty DeRosa and Sarah Shaq. Sarah made paintings: an evil Jordan (as Rafael Nadal) and a good Connor Friedersdorf.
798,Jordan,New album by El Michaels Affair with Black Thought (jazz/hip hop soul).
799,Dan,Spending time with parents.
799,Dan,Looking at open houses.
799,Jordan,Having a birthday.
799,Jordan,Eating cake.
800,Dan,"The simultaneous firing of Tucker Carlson and Don Lemon, and James Corden's departure, creating an eventful birthday."
800,Jordan,"Shohei Ohtani's continued excellence in baseball, particularly his evolving pitching strategy involving a high-speed slider."
801,Dan,Speaking to students at Colgate University and engaging in insightful discussions about political science.
801,Jordan,"Receiving custom-made Alex Jones Pez dispensers, especially after discovering they were initially hidden by the postal service."
802,Dan,Unknown.
802,Jordan,New novelty socks with icicles on them.
803,Dan,Visiting with an old friend from stand-up comedy
803,Jordan,New album by Jessie Ware
804,Dan,Bath bombs with hidden treasures
804,Jordan,Watching Star Wars: Visions
805,Dan,Received a Horizon Zero Dawn themed mini Lego set
805,Jordan,Received surprise flowers for their birthday
806,Dan,Finished constructing a Lego set of the Tallneck from Horizon Zero Dawn.
806,Jordan,Playing the new Jedi Survivor game.
807,Dan,Breath of the Wild: Tears of the Kingdom
807,Jordan,Mother's Day
807,Jordan,Flowers with an engineering mom
808,Dan,"Attended bar trivia, coming in second place, and remembering a Big Red jingle"
808,Jordan,"Downloaded and played Legend of Zelda: Tears of the Kingdom, enjoying the building mechanics"
809,Dan,"Going through old college memorabilia, including a letter from the disciplinary office."
809,Jordan,Wife's parents grooming the dogs Fanny and Jake.
810,Dan,"Irony of preparing to cover current Alex Jones, only for him to be out of studio"
810,Dan,"The anticipation, though ultimately disappointing, of trying a new, and very accurately-flavored, hot mustard Dorito"
810,Jordan,Watching anime: Neon Genesis Evangelion and Chainsaw Man
811,Dan,Retaining humanity through difficult times
811,Dan,Alex Jones being away
811,Jordan,Summer Games Done Quick benefiting Doctors Without Borders
812,Dan,Unknown
812,Jordan,Movie Renfield starring Nicholas Cage
813,Dan,Reese's new creamy variety
813,Jordan,The release of the movie 'Spider-Man: Across the Spider-Verse'
814,Dan,"Working on a 2004 episode for a later date, in which he discovered something very exciting."
814,Dan,"Descended down a rabbit hole on Wikipedia about *Spider-Man*, specifically the Superior Spider-Man storyline where Dr. Octopus puts his brain into Spider-Man's body."
814,Jordan,"Saw the movie *Spider-Man: Across the Spider-Verse* and thought it was incredible, especially the artwork and examination of 'this is just how it's done' vs 'do something different'."
814,Jordan,"Received a new hat from his wife that says 'Be yourself' in a loud, perhaps intentionally off-center design."
815,Dan,Going back to in-person therapy
815,Dan,Being in a space meant for therapy
815,Dan,The increased openness and rawness facilitated by in-person sessions
815,Jordan,Watching tennis
815,Jordan,The French Open semi-finals
815,Jordan,The possibility of a younger generation solving climate change through tennis prowess
817,Dan,Music remixes using Donkey Kong Country soundtrack sounds
817,Jordan,Janelle Monae's new album
818,Dan,Cat enjoys new dry food
818,Jordan,Seeing John Wick 4
820,Dan,Receiving a package of McDonald's Batman Forever glasses in mint condition from a listener. Finding the glasses evoke childhood memories. Appreciation for a comic strip featuring Osco.
820,Jordan,"Spending Father's Day with family, including barbecuing and smoked ribs. Enjoyed the talk with family."
821,Dan,Not mentioned in the transcript
821,Jordan,New video game called Final Fantasy 16
822,Dan,Coolhaus sharing followed Knowledge Fight on Twitter
822,Jordan,Final Fantasy 16
823,Dan,Being invited to speak at the QED conference in Manchester in September and the opportunity to travel and grow professionally.
823,Jordan,"The TV show *I Am a Virgo* by Boots Riley, praising its anti-capitalist themes and fantastical approach to social commentary."
824,Dan,Attending the Money in the Bank WWE event in London and unexpectedly seeing John Cena.
824,Dan,John Cena was there.
824,Jordan,Finishing Final Fantasy 16; the story successfully and satisfyingly wraps up all its themes.
825,Dan,Announcing UK show and gauging interest from listeners.
825,Jordan,Wimbledon: rooting for Andy Murray and the older players.
826,Dan,Finally getting a firm moving date
826,Jordan,Watching the TV show Warrior
827,Dan,"The upcoming live show in Glasgow, Scotland."
827,Jordan,"The upcoming live show in Glasgow, Scotland."
828,Dan,Tornado warning in Chicago evoking childhood memories
828,Jordan,Going back to yoga
828,Jordan,Tickets for Knowledge Fight show in Glasgow on sale
830,Dan,"Recording in his new place for the first time, despite potential train sounds."
830,Dan,Getting back to work on the podcast after moving.
830,Jordan,The Righteous Gemstones is back and features a naked fight scene.
830,Jordan,"Knowledge Fight's Glasgow show is sold out, and a second London show has been added."
831,Dan,Building mini Lego succulents and considering making decor out of mini blocks.
831,Jordan,Venture Brothers released their movie after a 20-year run.
831,Jordan,"Tickets are available for the Knowledge Fight London show, with an additional show at the QED conference in Manchester."
832,Dan,Wife's artist retreat to Portugal and accompanying time to relax
832,Dan,Adding a second live show in London
832,Jordan,Caramel cold brew M&Ms
833,Dan,"Playing Pikmin 4, which he finds to be an excellent puzzle game that nails the feeling of the old games while evolving the gameplay."
833,Jordan,Initially angered by wife's flight cancellation.
833,Jordan,"Spent a nice day with wife at a VR bar, going on a VR date, doing VR hatchet throwing and playing VR games."
833,Jordan,Wife successfully boarded her plane today.
834,Dan,One full week without vaping.
834,Jordan,A diorama of the final scene in Donkey Kong Country 2.
835,Dan,"Rediscovering a lost AirPod in the hallway outside the apartment, a story of redemption."
835,Jordan,"Guest interview on the Life After MLM podcast with Roberta Blevins, discussing multi-level marketing schemes and their similarities to cults, including an origin story."
836,Dan,"The existence of a new Korean reality show on Netflix called Zombieverse, despite it sounding ethically dubious."
836,Jordan,Foreshadowing something to be said later in the episode
837,Dan,Found foliage decorations for bedroom wall.
837,Dan,Plans to decorate bedroom as a jungle with fake plants and firefly lights.
837,Jordan,Rearranged living room furniture in Portugal.
837,Jordan,Replaced old furniture arrangement with a giant bean bag.
838,Dan,Attended the American Liberty Awards.
838,Jordan,Wife is coming home from Portugal today.
839,Dan,Received passport renewal
839,Jordan,"Watching the Women's World Cup, especially Australia's semi-final run"
840,Dan,Started playing a game called Remnant 2.
840,Dan,"Enjoys the items and abilities in the game, and the fact it allows the player to have a dog companion that follows them around."
840,Jordan,Puppy sitting this week with a six-month-old Westy girl named Sunny.
840,Jordan,"Enjoys the chaos the puppy causes, even though it is nonstop."
841,Dan,"The Challenge's music, especially when they go to the club"
841,Jordan,Star Wars: Ahsoka series
843,Dan,New sound effects for the show
843,Dan,Welcoming the new policy wonks and technocrat
843,Dan,Remembering Bray Wyatt
843,Jordan,Tanus at Alcatraz
843,Jordan,US Open starting
844,Dan,Building a Lego Grogu.
844,Jordan,New Adventure Time series: Fiona and Cake.
845,Dan,The recently ended fifth season of 'What We Do in the Shadows'
845,Dan,The elegant writing and surprise solutions in 'What We Do in the Shadows' season finale
845,Jordan,Casa Mamita Roja street taco sauce
845,Jordan,Aldi's selection of Mamba candy
846,Dan,"His wife enjoying the live-action remake of the anime 'One Piece', despite initial reservations."
846,Jordan,"Desire to be more open and engaging with social media, while setting boundaries against negativity."
848,Dan,An upcoming trip
848,Dan,Playing tennis with his wife
848,Jordan,An upcoming trip
850,Dan,The new vape shop employee's excellent customer service
850,Dan,Hugo de Mango vape juice
850,Jordan,Going to the UK with Dan for shows
850,Jordan,Seeing fans in the UK
850,Jordan,Potentially drinking at pubs
852,Dan,Hasn't finished Pikmin 4 and is saving it for the flight.
852,Jordan,Watching Shohei Ohtani play the greatest season of baseball ever by a man.
853,Dan,Documentary series called Telemarketers
853,Jordan,Fall is right around the corner
853,Jordan,Werther's Originals Green Apple flavor
853,Jordan,Just the Tip waffle cone tips
854,Dan,Seeing his wife and dogs.
854,Dan,"Experiencing the amazing inclusiveness and connection of the Knowledge Fight audience, observing people making friends at the shows."
854,Jordan,Being home after a rough trip.
854,Jordan,Being off the road.
854,Jordan,"Returning to a more normal sleep schedule, possibly fixing a bad problem."
855,Dan,DJ Danerkey's customized theme songs for their show.
855,Jordan,"Novelty candy from the UK, especially Haribo varieties, Maltesers, and Crunchies."
856,Dan,Candy selection in the UK
856,Dan,Lodging in the UK (with some caveats)
856,Jordan,Ability to see after a frustrating experience with UK optometrists
857,Dan,"Seeing a group of old people intently studying weeds growing between concrete in London, envying their simple enjoyment of something mundane."
857,Jordan,"Getting to experience the UK and the connections people made during the tour. Many people came by themselves, and by the end of it, they were walking out of here with a group."
858,Dan,Being back in the saddle of recording after a short break.
858,Dan,Identifying a mission statement focused on dismantling Alex Jones' legacy.
858,Jordan,"Celebrated wife's birthday with a low-key, enjoyable day and dinner."
859,Dan,Watching the new season of Survivor.
859,Jordan,"New pair of green-tinted glasses, replacing lost pair, improving vision."
860,Dan,"Cyberpunk 2077: Phantom Liberty expansion, Aldi's spicy chicken rings"
860,Jordan,"New series of Taskmaster, particularly the comedian Sam Campbell"
861,Dan,Shouting down the show 'Survive the Raft'
861,Dan,Wanting conflict in reality tv shows
861,Dan,Huck Finn on a massive ship
861,Jordan,Watching the Amazing Race
861,Jordan,Seeing the world through the contestants' eyes
861,Jordan,Enjoying the goofy bullshit of the show
862,Dan,"Receiving a package from Ziep, containing a variety of candies and mini block sets, including a Celine and Thomas Jefferson."
862,Jordan,"Importing and listening to his music catalog, especially Erykah Badu's album Mama's Gun, and rediscovering that late 90s, early 2000s R&B snare sound."
863,Dan,"Although initially disliking the show 'Big Brother' due to its over-the-top sound effects and humor, Dan found some redemption in the casting of the second season, specifically with a character that appears to be a mobster."
863,Jordan,Procuring a VR headset for free through promotions and airline miles.
863,Jordan,Practicing tennis on the VR headset and being legitimately sore and tired from how realistic and crazy it is.
864,Dan,"Reading Terry Pratchett's DeSquirreld novels, providing a source of joy and entertainment."
864,Jordan,Playing Mario Golf (Super Rush) and other video games with friends.
866,Dan,Finishing work on the Alex Jones book project and starting a Substack called Stackies to share insights into Alex Jones.
866,Jordan,"A new season of *What Had Happened Was* podcast, with Open Mike Eagle and Questlove covering the beginning of The Roots' career."
867,Dan,Launching alexjonesisanidiot.com for the book project and *Reset Wars* coverage
867,Jordan,Watching *Blue Eye Samurai* on Netflix
867,Jordan,The ending of *Attack on Titan*
868,Dan,Discovering habanero jack cheese sticks at Aldi
868,Dan,Enjoying the chaotic nature of Aldi's limited-time availability of products
868,Jordan,"Engaging in active activities with his wife, such as VR and bike riding"
868,Jordan,"Finding a balance between activity and managing shoulder and knee issues through consistent, less intense workouts"
869,Dan,Running into Chicago comedian Mike Wylie at the dealership
869,Dan,Getting a haircut
869,Jordan,Seeing movie trailers for Dream Scenario (Nicolas Cage movie) and the new Ghostbusters film
870,Dan,"Watching the animated sci-fi show ""Scavengers Rain."""
870,Dan,Appreciating the show's focus on alien life cycles and imagination.
870,Dan,Enjoying the blend of sci-fi elements with compelling stories and characters.
870,Jordan,Trying the Cacio e Pepe pasta dish.
870,Jordan,Enjoying the combination of pecorino cheese and black pepper.
870,Jordan,Experiencing a new type of pasta sauce beyond traditional marinara.
871,Dan,Thinking about Advent calendars
871,Dan,Cheese Advent calendar from Aldi
871,Jordan,Cold brew coffee made with a new brewer
871,Jordan,Super Mario RPG remake for the Switch
872,Dan,Rediscovering old Fallout Boy songs. The songs remind him of watching music videos with his buddy Nikki Gifts.
872,Jordan,"Jason Pargin's new novel, *Zoe is too drunk for this dystopia*."
872,Jordan,"The first in the Zoe Ash series, *Futuristic Violence and Fancy Suits*."
873,Dan,Seeing people share their Spotify year-end wrap and how much they listen to Knowledge Fight
873,Dan,Celine (the cat) experiencing static electricity
873,Jordan,"Rediscovering MST3K, specifically the original series"
873,Jordan,Crow (the robot from MST3K)
874,Dan,George Santos' expulsion from Congress.
874,Jordan,Dr. Who's return with David Tennant and Donna Noble in interstitial specials.
875,Dan,"Hanging out with a friend and reminiscing about old times, specifically suburban comedy from a decade ago"
875,Jordan,Discovery of podcast ads for Reese's Peanut Butter Cups
875,Jordan,Confusion and amusement at the perceived need to advertise such a ubiquitous product
876,Dan,"Slow Horses, a TV show starring Gary Oldman as a gross, but competent, British spy."
876,Jordan,"Seasonal Haribo gummy candies: candy cane shaped, cherry, apple, and plum flavored."
877,Dan,"Gotten dragged on social media for mistaking ""All Star"" for a cover of ""I'm a Believer."""
877,Jordan,Owning his car in two payments.
878,Dan,Alive.
878,Dan,Bright spot.
878,Jordan,"New show, *Carol and the End of the World*, on Netflix."
878,Jordan,Pensive and emotionally affecting.
878,Jordan,A meditation on life condensed.
879,Dan,Watched the finale of *Survivor* (though he couldn't discuss specifics to avoid spoilers).
879,Jordan,"Enjoyed a lovely lunch with his cousin, whom he used to work with. They ate Japanese food, including yellowtail with jalapeno, black cod, and especially memorable crispy rice balls."
880,Dan,Discovering self is still on spicy Thai restaurant's wall of fame
880,Dan,Working on Christmas Eve
880,Jordan,Pullover hoodie gift received for the holidays
882,Dan,Open Mike Eagle's 'What had happened was' podcast and Questlove's stories
882,Jordan,"The audience and their support, especially the rallying around Erica Lafferty"
882,Jordan,The audience gives hope in a world filled with horror
883,Dan,"It's the new year, with all its potential."
883,Jordan,"The new tennis season starting in Brisbane, Australia."
883,Jordan,"Rafael Nadal's return from injury, potentially his 'retirement tour'."
884,Dan,Acquiring a toaster oven with air fryer capability
884,Jordan,"Driving through Chicago with no traffic, experiencing a New Year's miracle"
885,Dan,"Chocolate frosted donut flavored Kit Kat (despite not being good), and connecting with a friend by sharing pictures of weird novelty candies."
885,Jordan,Discovering that Questlove produced six tracks of Common's album *Be* before Kanye took over.
886,Dan,Was a guest on a podcast called 'Book Cult'
886,Jordan,Watched the entire first season of 'Traders'
887,Dan,Absent
887,Jordan,Watching Friday Night Lights
888,Dan,New Hey Randy episode and a new episode of The Doughboys with Tim Baltz.
888,Jordan,"A song built then burnt hurrah hurrah by the Silver Mount Zion Orchestra and Try La La Band. Specifically, a poem in the song read by a kid."
889,Dan,"Scheduling a tattoo of the four elements from 'Legend of Korra', designed by his wife."
889,Jordan,"The new season of 'Traitors', especially CT's performance"
889,Jordan,"Alan Cumming's wardrobe and overall presence, particularly his beard, and performance"
890,Dan,Playing Prince of Persia: The Lost Crown
890,Dan,Enjoying the new game's puzzles and platforming
890,Jordan,Getting his ink done - all four elements
890,Jordan,Shoutout to Evoke Tattoos and Caitlin McKay
891,Dan,Reformatting Alex's book The Great Reset into a downloadable PDF
891,Jordan,Another year of Games Done Quick marathon
891,Jordan,A dog playing a game at the marathon
891,Jordan,Someone playing Super Mario 64 using a drum set
892,Dan,The fog
892,Dan,The ominous vibe
892,Dan,Feeling like a part of the clouds
892,Jordan,Tennis
892,Jordan,Good season
892,Jordan,People who play are good at it
893,Dan,"Playing the new *Like a Dragon* game, *Infinite Wealth*"
893,Jordan,"Kevin the bird plushie sent by a listener, Tristan"
895,Dan,Wife getting a wedding ring tattoo of a protea flower.
895,Jordan,Playing the new *Like a Dragon* game and enjoying its absurdity and uplifting nature.
896,Dan,"Received a mug that says, ""Be the eldritch horror you wish to see in the world"" from Miscellaneous Art."
896,Jordan,Joined two other podcasts last week: Coast to Coast PM and Libations for Everyone
897,Dan,"Excitement about upcoming project, possible release on Monday."
897,Dan,Tucker Carlson's interview with Vladimir Putin
897,Jordan,"Got a haircut, despite witnessing passive-aggressive barber conflict"
897,Jordan,Corrected a factual error about Gene Hackman's mortality
897,Jordan,Hype for an upcoming project
898,Dan,"Performing live at the Middle East venue in Boston, where Mr. Liff and Boston recorded live albums."
898,Jordan,Knowledge Fight's announcement of live shows and tour dates.
899,Dan,Nice to see Jordan
899,Dan,Ticket links for live shows are in the episode description
899,Jordan,Eventually going on tour
899,Jordan,Still able to record the show despite illness
900,Dan,"Back in the saddle, recording in person again after a root canal."
900,Jordan,Wife stood up to professional bullies in a spectacular and stirring fashion.
900,Jordan,"Knowledge Fight shows all sold out, with more tickets added in Boston."
901,Dan,Knowledge Fight selling out the Boston show at the Middle East venue.
901,Dan,"Listening to Boston's live album, 'Live from the Middle East,' and experiencing an emotional connection to the music and venue."
901,Jordan,Torrenting music to rebuild a lost collection and reclaim ownership.
901,Jordan,"Listening to The Mars Volta album, 'Do You Last in the Comatorium,' and revisiting the drumming complexities."
902,Dan,The character Iroh in Avatar: The Last Airbender.
902,Jordan,Creditors voted for liquidation in Alex's bankruptcy hearing.
902,Jordan,Potential opportunity to acquire infowars.com.
903,Dan,Will be putting a new post on stackys.substack.com on March 1st.
903,Jordan,The weather is nice outside. It's almost 60 degrees and bright and sunny.
904,Dan,Going to get a little meal
904,Jordan,The release of Final Fantasy VII Rebirth
905,Dan,That it's now freezing in Chicago
905,Jordan,Finally playing Final Fantasy VII Rebirth
905,Jordan,Being a guest on the On Brand podcast to analyze comedy
906,Dan,Got the Stackies newsletter back up and running.
906,Jordan,Went to see Dune at a movie theater for the first time in five years.
907,Dan,"Learning that Tanager George, the artist who created a very detailed drawing of Chicago from the air, is a fan of Knowledge Fight."
907,Jordan,"Fostering/dog-sitting two Westie puppies and a third dog, despite the challenges of caring for them, especially since one dog has liver problems and eats scrambled eggs every night."
908,Dan,Trying the KFC Cheetza (chicken pizza)
908,Jordan,Playing Final Fantasy 7 Rebirth
909,Dan,"None provided, bright spot was actually a ""call out"" of Unicornalicious Haribos."
909,Jordan,Wife's mom picked up three of the puppies.
909,Jordan,The two remaining puppies are less taxing.
910,Dan,Winning a fantasy baseball league in the past.
910,Dan,Watching season two of the British version of *The Traitors*.
910,Jordan,"Opening day of Major League Baseball in Korea, specifically watching Shohei Ohtani play for the Dodgers."
911,Dan,The return of The Amazing Race and Phil Kogan's job.
911,Jordan,Bespoke intro from DJ Dan Arkey for episode 9-11.
912,Dan,Trying Campbell's spicy chicken noodle soup.
912,Dan,The soup being surprisingly spicy and enjoyable on a cold day.
912,Jordan,Celebrating second wedding anniversary with wife.
912,Jordan,"Eating steak, Brussels sprouts, and bacon with crispy shallots."
913,Dan,"Celebrating an anniversary, though the bathhouse experience wasn't entirely pleasurable."
913,Jordan,Witnessing the compelling and emotionally impactful storytelling of 'The Truth vs. Alex Jones' documentary.
914,Dan,April Fools
914,Jordan,New season of Taskmaster
915,Dan,Catching up on new music.
915,Dan,"No Name - amazing Chicago rapper, poet, and multimedia artist."
915,Dan,Her recent album is incredible.
